COD_IBGE;UF;MUNICIPIO;POPULACAO;RANGE_POP;CAPITAL
3509205;SP;Cajamar;79034;>50k;
3527108;SP;Lins;78978;>50k;
2208007;PI;Picos;78627;>50k;
1505064;PA;Novo Repartimento;78488;>50k;
3524303;SP;Jaboticabal;78029;>50k;
3506102;SP;Bebedouro;77612;>50k;
4317509;RS;Santo Ângelo;77544;>50k;
2302800;CE;Canindé;77484;>50k;
2916401;BA;Itapetinga;77408;>50k;
3539301;SP;Pirassununga;77330;>50k;
3306107;RJ;Valença;77202;>50k;
2313401;CE;Tianguá;77111;>50k;
2601706;PE;Belo Jardim;76930;>50k;
5219753;GO;Santo Antônio do Descoberto;76871;>50k;
1506708;PA;Santana do Araguaia;75995;>50k;
3115300;MG;Cataguases;75942;>50k;
3522604;SP;Itapira;75683;>50k;
4204301;SC;Concórdia;75683;>50k;
2707701;AL;Rio Largo;75662;>50k;
4317103;RS;Sant'Ana do Livramento;75647;>50k;
2301109;CE;Aracati;75392;>50k;
2601201;PE;Arcoverde;75295;>50k;
2304103;CE;Crateús;75241;>50k;
1505304;PA;Oriximiná;74921;>50k;
3146107;MG;Ouro Preto;74824;>50k;
3512803;SP;Cosmópolis;74662;>50k;
5205497;GO;Cidade Ocidental;74370;>50k;
2402600;RN;Ceará-Mirim;74268;>50k;
2309607;CE;Pacajus;74145;>50k;
2914604;BA;Irecê;74050;>50k;
4317202;RS;Santa Rosa;73882;>50k;
4307906;RS;Farroupilha;73758;>50k;
2102325;MA;Buriticupu;73595;>50k;
2706307;AL;Palmeira dos Índios;73452;>50k;
3501905;SP;Amparo;73145;>50k;
2110005;MA;Santa Luzia;73105;>50k;
2907202;BA;Casa Nova;73092;>50k;
4214805;SC;Rio do Sul;72931;>50k;
1506500;PA;Santa Izabel do Pará;72856;>50k;
2303501;CE;Cascavel;72706;>50k;
3124104;MG;Esmeraldas;72512;>50k;
4300406;RS;Alegrete;72493;>50k;
3135100;MG;Janaúba;72374;>50k;
4322608;RS;Venâncio Aires;72373;>50k;
4207502;SC;Indaial;72346;>50k;
4104907;PR;Castro;72125;>50k;
5208608;GO;Goianésia;72045;>50k;
4205902;SC;Gaspar;71925;>50k;
3164704;MG;São Sebastião do Paraíso;71915;>50k;
2906006;BA;Campo Formoso;71754;>50k;
2104800;MA;Grajaú;70692;>50k;
4202305;SC;Biguaçu;70471;>50k;
2609907;PE;Ouricuri;70466;>50k;
3515103;SP;Embu-Guaçu;70402;>50k;
2903904;BA;Bom Jesus da Lapa;70151;>50k;
2516201;PB;Sousa;69997;>50k;
4303905;RS;Campo Bom;69981;>50k;
2802106;SE;Estância;69919;>50k;
1502202;PA;Capanema;69828;>50k;
2503209;PB;Cabedelo;69773;>50k;
2605202;PE;Escada;69701;>50k;
3537602;SP;Peruíbe;69697;>50k;
